id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,person.id,person.fullName,person.link,toTeam.id,toTeam.name,toTeam.link,fromTeam.id,fromTeam.name,fromTeam.link
474129,2021-03-27,2021-03-27,,OPT,Optioned,Seattle Mariners optioned P Joey Gerber to Mariners Alternate Training Site.,680702.0,Joey Gerber,/api/v1/people/680702,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
481602,2021-03-31,2021-03-31,2021-03-31,SFA,Signed as Free Agent,Seattle Mariners signed free agent CF Stephen Wrenn to a minor league contract.,642227.0,Stephen Wrenn,/api/v1/people/642227,136,Seattle Mariners,/api/v1/teams/136,,,
475846,2021-03-31,2021-03-31,,SE,Selected,Seattle Mariners selected the contract of P Drew Steckenrider from Tacoma Rainiers.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,529.0,Tacoma Rainiers,/api/v1/teams/529
477126,2021-03-31,2021-03-31,2021-03-31,SE,Selected,Seattle Mariners selected the contract of P Drew Steckenrider.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,,,
475847,2021-03-31,2021-03-31,,OPT,Optioned,Seattle Mariners optioned P Domingo Tapia to Mariners Alternate Training Site.,593619.0,Domingo Tapia,/api/v1/people/593619,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
475850,2021-03-31,2021-03-29,2021-03-29,SC,Status Change,Seattle Mariners placed 2B Shed Long Jr. on the 10 day disabled list.,643418.0,Shed Long Jr.,/api/v1/people/643418,136,Seattle Mariners,/api/v1/teams/136,,,
475848,2021-03-31,2021-03-31,2021-03-31,SC,Status Change,Seattle Mariners placed P Ken Giles on the 60 day disabled list.,571704.0,Ken Giles,/api/v1/people/571704,136,Seattle Mariners,/api/v1/teams/136,,,
478372,2021-03-31,2021-03-31,2021-03-31,SE,Selected,Seattle Mariners selected the contract of RHP Drew Steckenrider.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,,,
477700,2021-03-31,2021-03-31,2021-03-31,SE,Selected,Seattle Mariners selected the contract of P Drew Steckenrider.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,,,
475849,2021-03-31,2021-03-29,,SC,Status Change,Seattle Mariners placed CF Kyle Lewis on the 10 day disabled list.,641786.0,Kyle Lewis,/api/v1/people/641786,136,Seattle Mariners,/api/v1/teams/136,,,
477623,2021-03-31,2021-03-31,2021-03-31,SE,Selected,Seattle Mariners selected the contract of P Drew Steckenrider.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,,,
476340,2021-04-01,2021-04-01,2021-04-01,SFA,Signed as Free Agent,Seattle Mariners signed free agent P Matt Magill.,543483.0,Matt Magill,/api/v1/people/543483,136,Seattle Mariners,/api/v1/teams/136,,,
476338,2021-04-01,2021-04-01,2021-04-01,SFA,Signed as Free Agent,Seattle Mariners signed free agent P Roenis Elias.,606273.0,Roenis Elías,/api/v1/people/606273,136,Seattle Mariners,/api/v1/teams/136,,,
476538,2021-04-07,2021-04-07,2021-04-07,SC,Status Change,Seattle Mariners placed P James Paxton on the 10 day injured list. Left forearm strain.,572020.0,James Paxton,/api/v1/people/572020,136,Seattle Mariners,/api/v1/teams/136,,,
476539,2021-04-07,2021-04-07,,CU,Recalled,Seattle Mariners recalled P Ljay Newsome from Mariners Alternate Training Site.,664714.0,Ljay Newsome,/api/v1/people/664714,136,Seattle Mariners,/api/v1/teams/136,3274.0,Mariners Alternate Training Site,/api/v1/teams/3274
478375,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled RHP Ljay Newsome.,664714.0,Ljay Newsome,/api/v1/people/664714,136,Seattle Mariners,/api/v1/teams/136,,,
477718,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled CF Braden Bishop.,623323.0,Braden Bishop,/api/v1/people/623323,136,Seattle Mariners,/api/v1/teams/136,,,
477671,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled P Ljay Newsome.,664714.0,Ljay Newsome,/api/v1/people/664714,136,Seattle Mariners,/api/v1/teams/136,,,
477713,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled P Ljay Newsome.,664714.0,Ljay Newsome,/api/v1/people/664714,136,Seattle Mariners,/api/v1/teams/136,,,
477631,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled CF Braden Bishop.,623323.0,Braden Bishop,/api/v1/people/623323,136,Seattle Mariners,/api/v1/teams/136,,,
478391,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled CF Braden Bishop.,623323.0,Braden Bishop,/api/v1/people/623323,136,Seattle Mariners,/api/v1/teams/136,,,
480629,2021-04-07,2021-04-07,2021-04-07,SC,Status Change,Seattle Mariners placed CF Jake Fraley on the 10-day injured list. Left hamstring strain.,641584.0,Jake Fraley,/api/v1/people/641584,136,Seattle Mariners,/api/v1/teams/136,,,
476537,2021-04-07,2021-04-07,2021-04-07,SC,Status Change,Seattle Mariners placed CF Jake Fraley on the 10 day injured list. Left hamstring strain.,641584.0,Jake Fraley,/api/v1/people/641584,136,Seattle Mariners,/api/v1/teams/136,,,
476540,2021-04-07,2021-04-07,,CU,Recalled,Seattle Mariners recalled CF Braden Bishop from Mariners Alternate Training Site.,623323.0,Braden Bishop,/api/v1/people/623323,136,Seattle Mariners,/api/v1/teams/136,3274.0,Mariners Alternate Training Site,/api/v1/teams/3274
477129,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled P Ljay Newsome.,664714.0,Ljay Newsome,/api/v1/people/664714,136,Seattle Mariners,/api/v1/teams/136,,,
477114,2021-04-07,2021-04-07,2021-04-07,CU,Recalled,Seattle Mariners recalled CF Braden Bishop.,623323.0,Braden Bishop,/api/v1/people/623323,136,Seattle Mariners,/api/v1/teams/136,,,
476803,2021-04-12,2021-04-12,,CU,Recalled,Seattle Mariners recalled P Erik Swanson from Mariners Alternate Training Site.,657024.0,Erik Swanson,/api/v1/people/657024,136,Seattle Mariners,/api/v1/teams/136,3274.0,Mariners Alternate Training Site,/api/v1/teams/3274
477125,2021-04-12,2021-04-12,2021-04-12,CU,Recalled,Seattle Mariners recalled P Erik Swanson.,657024.0,Erik Swanson,/api/v1/people/657024,136,Seattle Mariners,/api/v1/teams/136,,,
477714,2021-04-12,2021-04-12,2021-04-12,CU,Recalled,Seattle Mariners recalled P Erik Swanson.,657024.0,Erik Swanson,/api/v1/people/657024,136,Seattle Mariners,/api/v1/teams/136,,,
477666,2021-04-12,2021-04-12,2021-04-12,CU,Recalled,Seattle Mariners recalled P Erik Swanson.,657024.0,Erik Swanson,/api/v1/people/657024,136,Seattle Mariners,/api/v1/teams/136,,,
476812,2021-04-12,2021-04-12,2021-04-12,SC,Status Change,Seattle Mariners placed P Anthony Misiewicz on the 10 day injured list.,664948.0,Anthony Misiewicz,/api/v1/people/664948,136,Seattle Mariners,/api/v1/teams/136,,,
476910,2021-04-13,2021-04-13,,CU,Recalled,Seattle Mariners recalled 2B Donovan Walton from Mariners Alternate Training Site.,622268.0,Donovan Walton,/api/v1/people/622268,136,Seattle Mariners,/api/v1/teams/136,3274.0,Mariners Alternate Training Site,/api/v1/teams/3274
476951,2021-04-14,2021-04-14,,OPT,Optioned,Seattle Mariners optioned 2B Donovan Walton to Mariners Alternate Training Site.,622268.0,Donovan Walton,/api/v1/people/622268,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
477581,2021-04-15,2021-04-15,,SE,Selected,Seattle Mariners selected the contract of RHP Robert Dugger from Mariners Alternate Training Site.,667498.0,Robert Dugger,/api/v1/people/667498,136,Seattle Mariners,/api/v1/teams/136,3274.0,Mariners Alternate Training Site,/api/v1/teams/3274
477690,2021-04-16,2021-04-16,,OPT,Optioned,Seattle Mariners optioned RHP Robert Dugger to Mariners Alternate Training Site.,667498.0,Robert Dugger,/api/v1/people/667498,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
478296,2021-04-16,2021-04-16,,OPT,Optioned,Seattle Mariners optioned RHP Erik Swanson to Mariners Alternate Training Site.,657024.0,Erik Swanson,/api/v1/people/657024,3274,Mariners Alternate Training Site,/api/v1/teams/3274,136.0,Seattle Mariners,/api/v1/teams/136
478290,2021-04-16,2021-04-16,2021-04-16,SC,Status Change,Seattle Mariners activated LHP Anthony Misiewicz from the 10-day injured list.,664948.0,Anthony Misiewicz,/api/v1/people/664948,136,Seattle Mariners,/api/v1/teams/136,,,
478295,2021-04-16,2021-04-16,2021-04-16,SC,Status Change,Seattle Mariners placed LHP James Paxton on the 60-day injured list. Left forearm strain.,572020.0,James Paxton,/api/v1/people/572020,136,Seattle Mariners,/api/v1/teams/136,,,
486312,2021-04-18,2021-04-18,2021-04-18,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Brayan Diaz to a minor league contract.,700730.0,Brayan Diaz,/api/v1/people/700730,136,Seattle Mariners,/api/v1/teams/136,,,
478925,2021-04-20,2021-04-20,2021-04-20,SC,Status Change,Seattle Mariners activated CF Kyle Lewis from the 10-day injured list.,641786.0,Kyle Lewis,/api/v1/people/641786,136,Seattle Mariners,/api/v1/teams/136,,,
