date,player,typeDesc,description
2023-04-10,José Rodríguez,Selected,Seattle Mariners selected the contract of RHP José Rodriguez from Tacoma Rainiers.
2023-04-12,,Selected,"Seattle Mariners selected the contract of RHP Darren McCaughan,  and  from Tacoma Rainiers."
2023-04-14,,Selected,Seattle Mariners selected the contract of LHP Tommy Milone and  from Tacoma Rainiers.
2023-04-15,José Caballero,Selected,Seattle Mariners selected the contract of SS Jose Caballero from Tacoma Rainiers.
2023-04-18,Tayler Saucedo,Recalled,Seattle Mariners recalled LHP Tayler Saucedo from Tacoma Rainiers.
2023-04-29,Easton McGee,Recalled,Seattle Mariners recalled RHP Easton McGee from Tacoma Rainiers.
2023-05-30,Darren McCaughan,Recalled,Seattle Mariners recalled RHP Darren McCaughan from Tacoma Rainiers.
2023-05-31,Matt Festa,Recalled,Seattle Mariners recalled RHP Matt Festa from Tacoma Rainiers.
2023-06-02,Mike Ford,Selected,Seattle Mariners selected the contract of 1B Mike Ford from Tacoma Rainiers.
2023-07-03,Darren McCaughan,Recalled,Seattle Mariners recalled RHP Darren McCaughan from Tacoma Rainiers.
2023-07-03,Matt Festa,Recalled,Seattle Mariners recalled RHP Matt Festa from Tacoma Rainiers.
2023-07-05,Tommy Milone,Selected,Seattle Mariners selected the contract of LHP Tommy Milone from Tacoma Rainiers.
2023-07-20,Cade Marlowe,Recalled,Seattle Mariners recalled LF Cade Marlowe from Tacoma Rainiers.
2023-07-22,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2023-07-31,Juan Then,Recalled,Seattle Mariners recalled RHP Juan Then from Tacoma Rainiers.
2023-08-01,Trent Thornton,Recalled,Seattle Mariners recalled RHP Trent Thornton from Tacoma Rainiers.
2023-08-03,Ryder Ryan,Selected,Seattle Mariners selected the contract of RHP Ryder Ryan from Tacoma Rainiers.
2023-08-08,Ryder Ryan,Recalled,Seattle Mariners recalled RHP Ryder Ryan from Tacoma Rainiers.
2023-08-11,Sam Haggerty,Recalled,Seattle Mariners recalled 2B Sam Haggerty from Tacoma Rainiers.
2023-08-16,Brian O'Keefe,Selected,Seattle Mariners selected the contract of C Brian O'Keefe from Tacoma Rainiers.
2023-08-17,Eduard Bazardo,Recalled,Seattle Mariners recalled RHP Eduard Bazardo from Tacoma Rainiers.
2023-08-21,Darren McCaughan,Recalled,Seattle Mariners recalled RHP Darren McCaughan from Tacoma Rainiers.
2023-09-01,Sam Haggerty,Recalled,Seattle Mariners recalled 2B Sam Haggerty from Tacoma Rainiers.
2023-09-10,Eduard Bazardo,Recalled,Seattle Mariners recalled RHP Eduard Bazardo from Tacoma Rainiers.
2023-09-12,Luis Torrens,Selected,Seattle Mariners selected the contract of C Luis Torrens from Tacoma Rainiers.
2023-10-02,Ryder Ryan,Recalled,Seattle Mariners recalled RHP Ryder Ryan from Tacoma Rainiers.
2023-10-02,Adam Oller,Recalled,Seattle Mariners recalled RHP Adam Oller from Tacoma Rainiers.
2023-10-02,Darren McCaughan,Recalled,Seattle Mariners recalled RHP Darren McCaughan from Tacoma Rainiers.
2023-10-02,Brian O'Keefe,Recalled,Seattle Mariners recalled C Brian O'Keefe from Tacoma Rainiers.
2023-10-02,Cooper Hummel,Recalled,Seattle Mariners recalled C Cooper Hummel from Tacoma Rainiers.
2023-10-02,Cade Marlowe,Recalled,Seattle Mariners recalled LF Cade Marlowe from Tacoma Rainiers.
2023-10-02,Ryan Jensen,Recalled,Seattle Mariners recalled RHP Ryan Jensen from Tacoma Rainiers.
2023-10-02,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2023-11-14,Zach DeLoach,Selected,Seattle Mariners selected the contract of OF Zach DeLoach from Tacoma Rainiers.
2024-03-28,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2024-04-05,Samad Taylor,Recalled,Seattle Mariners recalled 2B Samad Taylor from Tacoma Rainiers.
2024-04-08,Brett de Geus,Selected,Seattle Mariners selected the contract of RHP Brett de Geus from Tacoma Rainiers.
2024-04-08,Tyson Miller,Selected,Seattle Mariners selected the contract of RHP Tyson Miller from Tacoma Rainiers.
2024-04-15,Jonatan Clase,Recalled,Seattle Mariners recalled OF Jonatan Clase from Tacoma Rainiers.
2024-04-25,Leo Rivas,Selected,Seattle Mariners selected the contract of SS Leo Rivas from Tacoma Rainiers.
2024-04-29,Sam Haggerty,Recalled,Seattle Mariners recalled 2B Sam Haggerty from Tacoma Rainiers.
2024-05-08,Kirby Snead,Selected,Seattle Mariners selected the contract of LHP Kirby Snead from Tacoma Rainiers.
2024-05-22,Jhonathan Díaz,Selected,Seattle Mariners selected the contract of LHP Jhonathan Diaz from Tacoma Rainiers.
2024-05-24,Jonatan Clase,Recalled,Seattle Mariners recalled OF Jonatan Clase from Tacoma Rainiers.
2024-05-27,Sam Haggerty,Recalled,Seattle Mariners recalled 2B Sam Haggerty from Tacoma Rainiers.
2024-05-27,Ryan Bliss,Selected,Seattle Mariners selected the contract of SS Ryan Bliss from Tacoma Rainiers.
2024-06-01,Collin Snider,Recalled,Seattle Mariners recalled RHP Collin Snider from Tacoma Rainiers.
2024-06-09,Tyler Locklear,Selected,Seattle Mariners selected the contract of 3B Tyler Locklear from Tacoma Rainiers.
2024-06-09,Matt Bowman,Selected,Seattle Mariners selected the contract of RHP Matt Bowman from Tacoma Rainiers.
2024-06-10,Leo Rivas,Recalled,Seattle Mariners recalled SS Leo Rivas from Tacoma Rainiers.
2024-06-11,Eduard Bazardo,Recalled,Seattle Mariners recalled RHP Eduard Bazardo from Tacoma Rainiers.
2024-06-11,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Diaz from Tacoma Rainiers.
2024-06-12,Brett de Geus,Recalled,Seattle Mariners recalled RHP Brett de Geus from Tacoma Rainiers.
2024-06-13,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2024-06-14,Cody Bolton,Recalled,Seattle Mariners recalled RHP Cody Bolton from Tacoma Rainiers.
2024-06-25,Collin Snider,Recalled,Seattle Mariners recalled RHP Collin Snider from Tacoma Rainiers.
2024-06-28,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Diaz from Tacoma Rainiers.
2024-07-02,Seby Zavala,Selected,Seattle Mariners selected the contract of C Seby Zavala from Tacoma Rainiers.
2024-07-06,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2024-07-10,Jonatan Clase,Recalled,Seattle Mariners recalled OF Jonatan Clase from Tacoma Rainiers.
2024-07-22,Jason Vosler,Selected,Seattle Mariners selected the contract of 3B Jason Vosler from Tacoma Rainiers.
2024-07-23,Tyler Locklear,Recalled,Seattle Mariners recalled 3B Tyler Locklear from Tacoma Rainiers.
2024-07-23,Leo Rivas,Recalled,Seattle Mariners recalled SS Leo Rivas from Tacoma Rainiers.
2024-07-23,Jonatan Clase,Recalled,Seattle Mariners recalled OF Jonatan Clase from Tacoma Rainiers.
2024-07-23,Cade Marlowe,Recalled,Seattle Mariners recalled LF Cade Marlowe from Tacoma Rainiers.
2024-07-30,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Diaz from Tacoma Rainiers.
2024-08-07,Ryan Bliss,Recalled,Seattle Mariners recalled SS Ryan Bliss from Tacoma Rainiers.
2024-08-08,Eduard Bazardo,Recalled,Seattle Mariners recalled RHP Eduard Bazardo from Tacoma Rainiers.
2024-08-23,Gabe Speier,Recalled,Seattle Mariners recalled LHP Gabe Speier from Tacoma Rainiers.
